"filename", "language", "SCSS", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\drawParts\ImageParts.js", "JavaScript", 0, -68, 0, 0, -68
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\drawParts\TextParts.js", "JavaScript", 0, -77, -14, -10, -101
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\side\LighterSettings.js", "JavaScript", 0, -132, -1, -13, -146
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\side\image\ImageElement_desktop.js", "JavaScript", 0, -200, -12, -17, -229
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\side\image\toolBarImage.js", "JavaScript", 0, -97, -1, -4, -102
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\side\sideBar.js", "JavaScript", 0, -65, 0, -2, -67
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\side\text\TextElement_desktop copy.js", "JavaScript", 0, -280, -10, -28, -318
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\side\text\TextElement_desktop.js", "JavaScript", 0, 0, -265, -30, -295
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\side\text\toolBarText.js", "JavaScript", 0, -79, -1, -4, -84
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\toolBar.js", "JavaScript", 0, -39, -2, -4, -45
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\tools\ImageTools.js", "JavaScript", 0, -23, 0, -2, -25
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\tools\TextTools.js", "JavaScript", 0, -46, -3, -1, -50
"c:\xampp\htdocs\fd\resources\js\Converter\worker\_ConverterWorker.js", "JavaScript", 0, -38, -48, -11, -97
"c:\xampp\htdocs\fd\resources\js\Converter\worker\_ConverterWorkerHelper.js", "JavaScript", 0, -69, -11, -9, -89
"c:\xampp\htdocs\fd\resources\js\Designs\CategoryHelper.js", "JavaScript", 0, -24, 0, 0, -24
"c:\xampp\htdocs\fd\resources\js\Designs\DesignHelper.js", "JavaScript", 0, -82, 0, -4, -86
"c:\xampp\htdocs\fd\resources\js\Designs\ImageMenu\ImageHelper.js", "JavaScript", 0, -58, -1, -4, -63
"c:\xampp\htdocs\fd\resources\js\Designs\ImageMenu\ImageMenu.js", "JavaScript", 0, -208, -27, -20, -255
"c:\xampp\htdocs\fd\resources\js\Designs\ImageMenu\ImageMenuFilter.js", "JavaScript", 0, -37, 0, -2, -39
"c:\xampp\htdocs\fd\resources\js\Designs\ImageMenu\Unsplash.js", "JavaScript", 0, -142, -15, -6, -163
"c:\xampp\htdocs\fd\resources\js\Email\Email.js", "JavaScript", 0, -17, 0, -1, -18
